num_iterations,max_depth,bagging_fraction,feature_fraction,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time
50.0,75.0,0.5,0.25,0.2414,0.0839,0.0978,0.1296,0.1424,0.1414,82915352909590.56,91118543882529.98,89026988084608.05,0.08
50.0,50.0,0.5,0.25,0.2414,0.0839,0.0978,0.1296,0.1424,0.1414,82915352909590.56,91118543882529.98,89026988084608.05,0.09
50.0,75.0,0.25,0.5,0.2852,0.0857,0.0902,0.1258,0.1423,0.142,79298976329639.48,90192621851256.56,87674167763721.86,0.12
50.0,75.0,0.75,0.5,0.2852,0.0857,0.0902,0.1258,0.1423,0.142,79298976329639.48,90192621851256.56,87674167763721.86,0.15
50.0,50.0,0.75,0.5,0.2852,0.0857,0.0902,0.1258,0.1423,0.142,79298976329639.48,90192621851256.56,87674167763721.86,0.14
100.0,50.0,0.75,0.25,0.3287,0.0788,0.0947,0.1219,0.1428,0.1416,79071594448233.33,92294511647873.9,89805050561879.06,0.16
50.0,75.0,0.5,0.25,0.2414,0.0839,0.0978,0.1296,0.1424,0.1414,82915352909590.56,91118543882529.98,89026988084608.05,0.11
50.0,75.0,0.5,0.75,0.2959,0.0939,0.1058,0.1248,0.1416,0.1408,78516470153838.77,89986778102057.3,86375755060594.81,0.17
50.0,75.0,0.75,0.5,0.2852,0.0857,0.0902,0.1258,0.1423,0.142,79298976329639.48,90192621851256.56,87674167763721.86,0.13
50.0,25.0,0.5,0.75,0.2959,0.0939,0.1058,0.1248,0.1416,0.1408,78516470153838.77,89986778102057.3,86375755060594.81,0.17
50.0,75.0,0.5,0.75,0.2959,0.0939,0.1058,0.1248,0.1416,0.1408,78516470153838.77,89986778102057.3,86375755060594.81,0.17
100.0,25.0,0.5,0.25,0.3287,0.0788,0.0947,0.1219,0.1428,0.1416,79071594448233.33,92294511647873.9,89805050561879.06,0.17
50.0,50.0,0.75,0.25,0.2414,0.0839,0.0978,0.1296,0.1424,0.1414,82915352909590.56,91118543882529.98,89026988084608.05,0.08
100.0,75.0,0.5,0.75,0.3997,0.0827,0.0935,0.1153,0.1425,0.1417,73357107436694.38,92252845762394.33,87568989309194.97,0.33
50.0,50.0,0.25,0.5,0.2852,0.0857,0.0902,0.1258,0.1423,0.142,79298976329639.48,90192621851256.56,87674167763721.86,0.15
50.0,50.0,0.75,0.75,0.2959,0.0939,0.1058,0.1248,0.1416,0.1408,78516470153838.77,89986778102057.3,86375755060594.81,0.16
50.0,50.0,0.75,0.25,0.2414,0.0839,0.0978,0.1296,0.1424,0.1414,82915352909590.56,91118543882529.98,89026988084608.05,0.1
100.0,75.0,0.75,0.5,0.385,0.07,0.0906,0.1167,0.1435,0.142,74497471948355.33,92933283528351.53,88493258481525.48,0.25
50.0,75.0,0.25,0.5,0.2852,0.0857,0.0902,0.1258,0.1423,0.142,79298976329639.48,90192621851256.56,87674167763721.86,0.13
100.0,25.0,0.5,0.75,0.3997,0.0827,0.0935,0.1153,0.1425,0.1417,73357107436694.38,92252845762394.33,87568989309194.97,0.32
100.0,25.0,0.75,0.75,0.3997,0.0827,0.0935,0.1153,0.1425,0.1417,73357107436694.38,92252845762394.33,87568989309194.97,0.35
50.0,50.0,0.5,0.25,0.2414,0.0839,0.0978,0.1296,0.1424,0.1414,82915352909590.56,91118543882529.98,89026988084608.05,0.09
100.0,25.0,0.75,0.5,0.385,0.07,0.0906,0.1167,0.1435,0.142,74497471948355.33,92933283528351.53,88493258481525.48,0.24
50.0,25.0,0.5,0.25,0.2414,0.0839,0.0978,0.1296,0.1424,0.1414,82915352909590.56,91118543882529.98,89026988084608.05,0.09
100.0,50.0,0.75,0.75,0.3997,0.0827,0.0935,0.1153,0.1425,0.1417,73357107436694.38,92252845762394.33,87568989309194.97,0.35
50.0,50.0,0.25,0.75,0.2959,0.0939,0.1058,0.1248,0.1416,0.1408,78516470153838.77,89986778102057.3,86375755060594.81,0.16
50.0,50.0,0.25,0.75,0.2959,0.0939,0.1058,0.1248,0.1416,0.1408,78516470153838.77,89986778102057.3,86375755060594.81,0.17
50.0,25.0,0.25,0.5,0.2852,0.0857,0.0902,0.1258,0.1423,0.142,79298976329639.48,90192621851256.56,87674167763721.86,0.12
50.0,75.0,0.5,0.5,0.2852,0.0857,0.0902,0.1258,0.1423,0.142,79298976329639.48,90192621851256.56,87674167763721.86,0.13
100.0,75.0,0.25,0.25,0.3287,0.0788,0.0947,0.1219,0.1428,0.1416,79071594448233.33,92294511647873.9,89805050561879.06,0.16
100.0,25.0,0.25,0.5,0.385,0.07,0.0906,0.1167,0.1435,0.142,74497471948355.33,92933283528351.53,88493258481525.48,0.24
100.0,25.0,0.25,0.25,0.3287,0.0788,0.0947,0.1219,0.1428,0.1416,79071594448233.33,92294511647873.9,89805050561879.06,0.17
100.0,75.0,0.25,0.5,0.385,0.07,0.0906,0.1167,0.1435,0.142,74497471948355.33,92933283528351.53,88493258481525.48,0.28
50.0,25.0,0.5,0.5,0.2852,0.0857,0.0902,0.1258,0.1423,0.142,79298976329639.48,90192621851256.56,87674167763721.86,0.15
50.0,25.0,0.5,0.5,0.2852,0.0857,0.0902,0.1258,0.1423,0.142,79298976329639.48,90192621851256.56,87674167763721.86,0.14
50.0,50.0,0.5,0.75,0.2959,0.0939,0.1058,0.1248,0.1416,0.1408,78516470153838.77,89986778102057.3,86375755060594.81,0.21
100.0,25.0,0.75,0.25,0.3287,0.0788,0.0947,0.1219,0.1428,0.1416,79071594448233.33,92294511647873.9,89805050561879.06,0.16
50.0,25.0,0.5,0.25,0.2414,0.0839,0.0978,0.1296,0.1424,0.1414,82915352909590.56,91118543882529.98,89026988084608.05,0.08
50.0,50.0,0.75,0.75,0.2959,0.0939,0.1058,0.1248,0.1416,0.1408,78516470153838.77,89986778102057.3,86375755060594.81,0.16
50.0,50.0,0.25,0.25,0.2414,0.0839,0.0978,0.1296,0.1424,0.1414,82915352909590.56,91118543882529.98,89026988084608.05,0.09
