num_iterations,max_depth,bagging_fraction,feature_fraction,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time
100.0,10.0,0.25,0.75,0.3096,0.0515,0.0274,0.1236,0.1449,0.1468,80090029468228.83,94134726083770.84,94969177423109.17,0.33
100.0,100.0,0.5,0.25,0.2554,0.0583,0.0356,0.1284,0.1444,0.1462,83510806113710.22,94727226177717.5,96013281448096.7,0.16
50.0,10.0,0.25,0.75,0.2176,0.0664,0.0406,0.1316,0.1437,0.1458,84745794273838.47,92968559187780.2,93602642528977.62,0.14
50.0,10.0,0.5,0.25,0.1788,0.0701,0.0475,0.1348,0.1435,0.1453,87218586356498.1,92988117196194.17,94051457066874.22,0.1
50.0,10.0,0.5,0.5,0.2052,0.064,0.0411,0.1326,0.1439,0.1458,85413496171776.16,93414855149512.16,94737172135223.16,0.12
50.0,10.0,0.75,0.25,0.1788,0.0701,0.0475,0.1348,0.1435,0.1453,87218586356498.1,92988117196194.17,94051457066874.22,0.08
50.0,100.0,0.75,0.75,0.2206,0.0617,0.0367,0.1313,0.1441,0.1461,84592775922210.61,92859550246230.94,93867511611889.06,0.15
50.0,10.0,0.5,0.75,0.2176,0.0664,0.0406,0.1316,0.1437,0.1458,84745794273838.47,92968559187780.2,93602642528977.62,0.18
50.0,100.0,0.5,0.25,0.1809,0.0716,0.0445,0.1346,0.1433,0.1455,87101568504914.75,92836575357162.58,94612897557629.31,0.09
50.0,100.0,0.75,0.25,0.1809,0.0716,0.0445,0.1346,0.1433,0.1455,87101568504914.75,92836575357162.58,94612897557629.31,0.08
50.0,100.0,0.5,0.25,0.1809,0.0716,0.0445,0.1346,0.1433,0.1455,87101568504914.75,92836575357162.58,94612897557629.31,0.08
100.0,100.0,0.25,0.25,0.2554,0.0583,0.0356,0.1284,0.1444,0.1462,83510806113710.22,94727226177717.5,96013281448096.7,0.18
100.0,100.0,0.75,0.75,0.315,0.0472,0.0265,0.1231,0.1452,0.1469,79630666142733.6,94551364099958.19,96190851639628.05,0.28
100.0,10.0,0.75,0.5,0.2893,0.0543,0.0313,0.1254,0.1447,0.1465,81423610631536.03,95330513616526.58,96476191986874.5,0.22
50.0,10.0,0.75,0.25,0.1788,0.0701,0.0475,0.1348,0.1435,0.1453,87218586356498.1,92988117196194.17,94051457066874.22,0.08
100.0,10.0,0.25,0.5,0.2893,0.0543,0.0313,0.1254,0.1447,0.1465,81423610631536.03,95330513616526.58,96476191986874.5,0.21
100.0,100.0,0.25,0.75,0.315,0.0472,0.0265,0.1231,0.1452,0.1469,79630666142733.6,94551364099958.19,96190851639628.05,0.31
50.0,10.0,0.5,0.75,0.2176,0.0664,0.0406,0.1316,0.1437,0.1458,84745794273838.47,92968559187780.2,93602642528977.62,0.15
50.0,100.0,0.5,0.5,0.2042,0.0669,0.0448,0.1327,0.1437,0.1455,85543478101481.2,93538637787273.95,93297249848720.86,0.11
50.0,10.0,0.75,0.75,0.2176,0.0664,0.0406,0.1316,0.1437,0.1458,84745794273838.47,92968559187780.2,93602642528977.62,0.16
100.0,100.0,0.75,0.5,0.2951,0.0553,0.0332,0.1249,0.1446,0.1464,80988537317876.94,95889946979449.61,94457798725064.06,0.23
50.0,100.0,0.75,0.5,0.2042,0.0669,0.0448,0.1327,0.1437,0.1455,85543478101481.2,93538637787273.95,93297249848720.86,0.11
50.0,10.0,0.5,0.25,0.1788,0.0701,0.0475,0.1348,0.1435,0.1453,87218586356498.1,92988117196194.17,94051457066874.22,0.08
100.0,100.0,0.5,0.75,0.315,0.0472,0.0265,0.1231,0.1452,0.1469,79630666142733.6,94551364099958.19,96190851639628.05,0.3
50.0,100.0,0.25,0.75,0.2206,0.0617,0.0367,0.1313,0.1441,0.1461,84592775922210.61,92859550246230.94,93867511611889.06,0.14
50.0,100.0,0.25,0.25,0.1809,0.0716,0.0445,0.1346,0.1433,0.1455,87101568504914.75,92836575357162.58,94612897557629.31,0.08
50.0,100.0,0.25,0.5,0.2042,0.0669,0.0448,0.1327,0.1437,0.1455,85543478101481.2,93538637787273.95,93297249848720.86,0.11
50.0,5.0,0.75,0.25,0.1398,0.0699,0.0517,0.138,0.1435,0.145,90103390765365.72,93771404992953.55,93961121918147.33,0.16
100.0,5.0,0.75,0.25,0.1958,0.0599,0.0434,0.1334,0.1442,0.1456,89210067351926.0,96041342563520.36,96697482335739.16,0.23
100.0,5.0,0.5,0.75,0.2316,0.0558,0.0375,0.1304,0.1446,0.146,86495324461392.28,95424776182837.36,96681603024161.38,0.38
100.0,5.0,0.25,0.75,0.2316,0.0558,0.0375,0.1304,0.1446,0.146,86495324461392.28,95424776182837.36,96681603024161.38,0.38
50.0,5.0,0.75,0.5,0.1541,0.0712,0.0483,0.1368,0.1434,0.1452,88935448322619.95,93214044559190.7,93782697181642.08,0.19
50.0,5.0,0.5,0.25,0.1398,0.0699,0.0517,0.138,0.1435,0.145,90103390765365.72,93771404992953.55,93961121918147.33,0.12
50.0,5.0,0.75,0.75,0.1595,0.0696,0.0448,0.1364,0.1435,0.1455,88603635391996.11,93161116663052.25,93761425096985.92,0.21
50.0,5.0,0.5,0.5,0.1541,0.0712,0.0483,0.1368,0.1434,0.1452,88935448322619.95,93214044559190.7,93782697181642.08,0.19
50.0,5.0,0.25,0.5,0.1541,0.0712,0.0483,0.1368,0.1434,0.1452,88935448322619.95,93214044559190.7,93782697181642.08,0.15
50.0,5.0,0.25,0.75,0.1595,0.0696,0.0448,0.1364,0.1435,0.1455,88603635391996.11,93161116663052.25,93761425096985.92,0.19
50.0,5.0,0.75,0.25,0.1398,0.0699,0.0517,0.138,0.1435,0.145,90103390765365.72,93771404992953.55,93961121918147.33,0.13
50.0,5.0,0.75,0.75,0.1595,0.0696,0.0448,0.1364,0.1435,0.1455,88603635391996.11,93161116663052.25,93761425096985.92,0.19
100.0,5.0,0.5,0.25,0.1958,0.0599,0.0434,0.1334,0.1442,0.1456,89210067351926.0,96041342563520.36,96697482335739.16,0.24
50.0,5.0,0.25,0.75,0.1595,0.0696,0.0448,0.1364,0.1435,0.1455,88603635391996.11,93161116663052.25,93761425096985.92,0.24
50.0,5.0,0.5,0.75,0.1595,0.0696,0.0448,0.1364,0.1435,0.1455,88603635391996.11,93161116663052.25,93761425096985.92,0.19
100.0,5.0,0.25,0.25,0.1958,0.0599,0.0434,0.1334,0.1442,0.1456,89210067351926.0,96041342563520.36,96697482335739.16,0.23
50.0,5.0,0.25,0.25,0.1398,0.0699,0.0517,0.138,0.1435,0.145,90103390765365.72,93771404992953.55,93961121918147.33,0.11
50.0,5.0,0.5,0.5,0.1541,0.0712,0.0483,0.1368,0.1434,0.1452,88935448322619.95,93214044559190.7,93782697181642.08,0.14
50.0,5.0,0.5,0.75,0.1595,0.0696,0.0448,0.1364,0.1435,0.1455,88603635391996.11,93161116663052.25,93761425096985.92,0.19
100.0,5.0,0.25,0.5,0.2205,0.06,0.0407,0.1314,0.1442,0.1458,87108036247165.86,95146141045849.89,95869436042865.28,0.3
100.0,5.0,0.75,0.75,0.2316,0.0558,0.0375,0.1304,0.1446,0.146,86495324461392.28,95424776182837.36,96681603024161.38,0.37
100.0,5.0,0.75,0.5,0.2205,0.06,0.0407,0.1314,0.1442,0.1458,87108036247165.86,95146141045849.89,95869436042865.28,0.29
50.0,5.0,0.25,0.25,0.1398,0.0699,0.0517,0.138,0.1435,0.145,90103390765365.72,93771404992953.55,93961121918147.33,0.12
50.0,5.0,0.5,0.25,0.1398,0.0699,0.0517,0.138,0.1435,0.145,90103390765365.72,93771404992953.55,93961121918147.33,0.11
50.0,5.0,0.75,0.5,0.1541,0.0712,0.0483,0.1368,0.1434,0.1452,88935448322619.95,93214044559190.7,93782697181642.08,0.13
50.0,5.0,0.25,0.5,0.1541,0.0712,0.0483,0.1368,0.1434,0.1452,88935448322619.95,93214044559190.7,93782697181642.08,0.14
